datasheet_link,target_col,content
https://lfillumination.com/files/specsheets/EF408B-Light-Unit.pdf,lighting,"EF400 System # EF408B
DIE CAST CYLINDRICAL LIGHT UNIT 
SPOTLIGHT
• 3.15” diameter cylinder
• 125° x 125° arm articulation - Friction lock
• 90º x 90° head rotation - Friction lock
• Die cast aluminum optical housing
• Articulating arm allows for greater aiming 
• Powder coat finish 
LED SOURCE 
• Field-changeable optic
• CREE / ValuDIM™
• Accepts 1 or more optical accessories
ELECTRICAL
• 
Field-replaceable LED driver
• Dimmable
MOUNTING
• Fabricated aluminum extension arm
• Side channel magnetic mount
• 
Designed for EF400 - EF4BNS Channel
LABELS
• Suitable for damp location
CATALOG NUMBER
TYPE
PROJECT
SMALL
EF4B
LED
3.51” (89)
3.15” (80)
90° x 90°
Head Rotation
Friction Lock
9.60”
(244)
POWER SUPPLY
20.00”
(508)
+/-
+/- 125° Rotation
Friction Lock
Magnetic
Mounts
+/- 100° Rotation
Friction Lock
2.10”
(53)
3.00” (76)
1.77” (45)
.75” (19)
.79”
(20)
Application View
EF400 / EFBNS Channel Shown
MAGNETIC MOUNT
Arm Detail
Specifications
HEADQUARTERS
9200 Deering Avenue
Chatsworth CA 91311 
Telephone: 818-885-1335
Toll Free: 855-885-1335
Fax: 818-576-1335
©2022 LF ILLUMINATION LLC
We reserve the right to change or 
withdraw specifications without prior notice.
www.lfillumination.com
rev: 032122
Limited
Limited
ORDERING INFO                                                                                                                                                                     
SERIES
WATTAGE 
CRI / COLOR
BEAM
DRIVER
FINISH
EF408B  
EF400
Cylindrical Small
Die Cast Aluminum Housing
Variable Adjustment
EF400 Channel Mount
08C 
 08W LED
 982 lm del.
13C 
 13W LED
 1322 lm del.
19C 
 19W LED
 1900 lm del.
26C 
 26W LED
 2555 lm del.
          Delivered @ 80CRI / 3000K
       Narrow Beam
8027   80CRI / 2700K 
8030   80CRI / 3000K
8035   80CRI / 3500K 
8040   80CRI / 4000K
9227   92CRI / 2700K 
9230   92CRI / 3000K
9235   92CRI / 3500K 
9240   92CRI / 4000K
N   Narrow 13°
M   Medium 22°
W   Wide 30°
V    Very Wide 50°
DMU   Dimming Multiple 
           Forward/Reverse Phase
           (@ 120V only)
           0-10V Wires Present
           (@ 120-277V) 
BB	 Black
WW White
Consult factory 
for custom colors. 
Minimum order 
required. Bezels 
only available in 
black or white.
ValuDIM™
15V 15W LED / 874lm del.
3000-1800K  Warm Dimming
   
Delivered @ 92CRI / 3000K
 Narrow Beam
9220   92CRI / 3000-1800K
9220
9220   Warm Dimming
           (ValuDIM Only)
Ordering Example: EF408B-13C-8027-W-DMU-BB
Measurements in ( ) are metric equivalents.
PLEASE NOTE THAT STARTERS AND JUMPERS ARE 
REQUIRED FOR THE EF ACCENT HEADS TO MAKE A 
COMPLETE FUNCTIONING SYSTEM.
SEE LINK HERE FOR MORE INFO: 
EF-Accent-Starter_Jumper-111121.pdf 
(lfillumination.com)"
https://lfillumination.com/files/specsheets/EF411B.PDF,lighting,
https://lfillumination.com/files/specsheets/EF407B-Light-Unit.pdf,lighting,"EF400 System # EF407B
DIE CAST CYLINDRICAL LIGHT UNIT 
HEADQUARTERS
9200 Deering Avenue
Chatsworth CA 91311 
©2022 LF ILLUMINATION LLC
We reserve the right to change or 
withdraw specifications without prior notice.
Telephone: 818-885-1335
Toll Free: 855-885-1335
Fax: 818-576-1335
www.lfillumination.com
rev: 032122
SPOTLIGHT
• 2.45” diameter cylinder
• 125° x 100° arm articulation - Friction lock
• 90º x 90° head rotation
• Aluminum optical housing
• Articulating arm allows for greater aiming 
• Powder coat finish 
LAMPS (not included)
• 12V MR16 50W max - Derate Labels Available
• LED Retrofit 15W max - Works with SORAA®
• Easy relamping via front ring snap-in catch action
• Accepts up to 2 optical accessories 
  dependent on lamp
ELECTRICAL
• Electronic transformer 
• Tandem enclosure
• ELV dimmable
MOUNTING
• Die-cast aluminum extension arm
• Side channel magnetic mount
• 
Designed for EF400 channel (Sold Separately)
LABELS
• Suitable for damp location
CATALOG NUMBER
TYPE
PROJECT
SMALL
ORDERING INFO                                                                                                                                                                     
SERIES
WATTAGE / LAMP
POWER SUPPLY
VOLTAGE
FINISH
EF407B  
EF407B
Cylindrical Small
Aluminum Housing
Variable Adjustment
020MR16X   MR16 20W
035MR16X   MR16 35W
050MR16X   MR16 50W
015MR16X   
MR16 15W LED Retrofit
ET   
Electronic Transformer
1  120V
2  277V
WW  White
BB	  Black
Consult factory for custom 
colors. Minimum order 
required. 
Ordering Example: EF407B-050MR16X-ET-1-BB
EF4B
MR16 
2.45” (62)
3.65” (93)
+/- 125° Rotation
Friction Lock
Magnetic
Mounts
+/- 100° Rotation
Friction Lock
3.00” (76)
1.77” (45)
.75” (19)
.79”
(20)
9.60”
(244)
90° x 90°
Head Rotation
Friction Lock
2.10”
(53)
POWER SUPPLY
20.00”
(508)
+/-
MAGNETIC MOUNT
Application View
(EF400 System Channel Shown)
Arm Detail
Specifications
Measurements in ( ) are metric equivalents.
PLEASE NOTE THAT STARTERS AND JUMPERS ARE 
REQUIRED FOR THE EF ACCENT HEADS TO MAKE A 
COMPLETE FUNCTIONING SYSTEM.
SEE LINK HERE FOR MORE INFO: 
EF-Accent-Starter_Jumper-111121.pdf 
(lfillumination.com)"
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/5221_SPSHT.pdf,lighting,"ADJUSTABLE BEAM WALL WASH 12V
5221
ORDERING NUMBER
Color Temp
Finish
5221
Adjustable beam wall wash 12V
2700K
3000K
BK
BZ
BBR
Black on Aluminum
Bronze on Aluminum
Bronze on Brass
PRODUCT DESCRIPTION
With the ability to achieve beam distributions of 3x4 to 5x6 proportions and more, 
expect a uniform beam wash of light in a fixture that can adapt to changing needs. A 
powerhouse all-in-one unit in 120 VAC or 9-15VAC provides integral brightness control, 
and the ability to be dimmed, while being compatible with a range of accessories.
FEATURES
•	
Continuously adjustable NEMA beam distribution 3x4 (35” x 60”), 4x5 (60” x 90”), 5x6 
(90” x 120”)
•	
Integral brightness control
•	
Rotate fixture head for vertical distribution
•	
Transformer required (sold separately)
•	
IP65 Rated, protected against powerful water jets
•	
Solid die-cast brass or corrosion resistant aluminum alloy
SPECIFICATIONS
Input: 
Power:
Brightness:
Beam Angle:
CRI:
Rated Life:
9 - 15VAC
3W to 25W / 4.4VA -27.8VA
200 lm to 1500 lm
Assorted NEMA distributions
85
70,000 hours
5221-_______
Example: 5221-30BZ
Fixture Type:
Catalog Number:
Project:
Location:
waclighting.com
Phone (800) 526.2588
Fax       (800) 526.2585
Headquarters/Eastern Distribution Center
44 Harbor Park Drive 
Port Washington, NY 11050
Central Distribution Center
1600 Distribution Ct
Lithia Springs, GA 30122
Western Distribution Center 
1750 Archibald Avenue 
Ontario, CA 91760
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program.   12/31/19
5a""
6c""
6,"""
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1626980/677116f7-4592-4516-9d8c-eae892e07331/hdmc.pdf?abl_version=02%2f23%2f2023+18%3a13%3a41&DOC_Type=SPEC_SHEET,lighting,"Type:
Project:
HDMC
Surface Mount with FAR-UVC Filtered 
222nm Disinfection Technology
Rev. 05/02/24
HDMC
SPECIFICATIONS
1
Healthcare Lighting  |  Acuity Brands Lighting, Inc., One Lithonia Way, Conyers, GA 30012  •  (800)-705-SERV (7378)  •  www.healthcare-lighting.com
Healthcare Lighting, nLight, and the Acuity Brands logo are registered trademarks of Acuity Brands. Care222 is a registered trademark of Ushio America, Inc. 
Products herein may be covered by one or more U.S. Patents and Patents Pending. Specifications subject to change without notice. 
© 2021-2024 Acuity Brands Lighting, Inc. All Rights Reserved. 
DIMENSIONS
HIGHLIGHTS
•	 Featuring Care222® far-UVC disinfection* technology with patented filter for 
narrow band 222nm emission
•	 Care222 technology operates continually and meets exposure guidelines for 
occupied space established by the American Conference of Governmental 
Industrial Hygienists (ACGIH) 1
•	 Targets the air and surfaces for pathogen control 2
•	 LED status indicator visible from room
•	 Discreet form factor for merging into existing interior spaces
•	 Fixtures are suitable for damp location
•	 Recessed or surface junction box mounting configurations available
•	 Ideal applications include nonresidential hospitality, healthcare facilities, offices, 
conference rooms, educational facilities, and other public spaces
•	 UV module designed for easy replacement
•	 Multiple paint color finishes standard as well as RAL color selections
•	 Features a 2-year limited warranty
WAVELENGTH SPECTRUM
COMPANION UNIT(S)
HDMPC 9LONG & 6LONG
Module in Pendant Cord
7 1/4"" [184.1]
9 7/8"" [250.8]
Ø5 1/2"" [139.7]
Ø4 5/8"" [117.5]
Junction box by others
(see Compatibility Table)
*All references to “disinfection” are referring generally to the reduction of pathogenic bioburden and are not 
intended to refer to any specific definition of the term as may be used for other purposes by the U.S. Food and 
Drug Administration or the U.S. Environmental Protection Agency. Reference Specifications page of this document 
for full disclaimer.
1.  ACGIH® 2021 TLVs® and BEIs®  - Based on the Documentation of the Threshold Limit Values for Chemical 
Substances and Physical Agents & Biological Exposure Indices; when installed and used in accordance with 
written instructions.
2.  Reference page 5-6 of this document under Projected Virus Inactivation and Projected Bacteria Inactivation
HDMC
HDMPS 9LONG & 6LONG
Module in Pendant Stem
HDMR
Module in Recessed
Install From Below Ceiling
HDMR w MF4 Accessory
Mounting Frame Kit
New Construction or Grid Ceilings
Care222® delivers a narrow band of 222nm UV at energy levels that do not penetrate 
living tissue in skin or beyond the top layer of the cornea in the eyes."
https://www.acuitybrands.com/api/products/getasset/holophane/1649332/4408a251-09be-4b61-813f-177b3ebcf10c/holophane-care222-hldmpc-cylinder-pendant-with-cord.pdf?abl_version=01%2f12%2f2023+16%3a54%3a24&DOC_Type=SPEC_SHEET,lighting,
https://lfillumination.com/files/specsheets/KATRPB-Pendant.pdf,lighting,"Extruded Aluminum
Housing
Satin Acrylic
Diffuser
5.87”
(149)
2.47”
(63)
6’-0” Adjustable
Power Supply
Cable
Adjustable
Power Supply
J-Box Canopy
Cover
4” J-Box by others
Ø2.76” (70)
Ø5.00” (127)
KATRPB
	
CYLINDER PENDANT MOUNT
HEADQUARTERS
9200 Deering Avenue
Chatsworth CA 91311 
Telephone: 818-885-1335
Toll Free: 855-885-1335
Fax: 818-576-1335
PENDANT HOUSING
• Single downlight accent fixture / small size
• 2.76” Diameter cylindrical shape
• Die cast aluminum housing
• LED optical grade reflector
• 5” diameter canopy
• Satin acrylic diffuser
• Powder coat finish
LED SOURCE
• CREE
• 
Through ventilation passively cooled thermal
   management
ELECTRICAL
• 
Fully integral LED driver
• Phase dimmable power supply
MOUNTING
• 
Directly to junction box
• Surface canopy with 6’ adjustable cable
• and hardware supplied
LABELS
• Suitable for damp location
CATALOG NUMBER
TYPE
PROJECT
www.lfillumination.com
rev: 022323
©2023 LF ILLUMINATION LLC
We reserve the right to change or 
withdraw specifications without prior notice.
Measurements in ( ) are metric equivalents.
ORDERING INFO                                                                                                                                                                    
SERIES
WATTAGE 
CRI / COLOR
BEAM
POWER SUPPLY
VOLTAGE
FINISH
KATRPB  
KATE ROUND 
PENDANT
Small Downlight
08C  
08W LED 
391lm Delivered
9230   92CRI / 3000K
X  Acrylic Diffuser
D1 
Phase Dimming 
      (120V only)
1   120V
BB    Black
WW  White
SS    Silver
Consult factory for 
custom colors
   
Ordering Example: KATRPB-08C-9230-X-D1-1-BB
Specifications
LED
INTEGRAL DRIVER
SMALL
JA8: 08C9xxx, 13C9xxx,
15V9xxx, 19U9xxx LED Engines/
Sources may be used to comply
with CA JA8 Title 24
A 
A 
JA8: 08C9xxx, 13C9xxx,
15V9xxx, 19U9xxx LED Engines/
Sources may be used to comply
with CA JA8 Title 24
A 
JA8: 08C9xxx, 13C9xxx,
15V9xxx, 19U9xxx LED Engines/
Sources may be used to comply
with CA JA8 Title 24
JA8: 08C9xxx, 13C9xxx,
15V9xxx, 19U9xxx LED Engines/
Sources may be used to comply
with CA JA8 Title 24
A 
C
US
®
Limited"
https://lfillumination.com/files/specsheets/JULRPB-Pendant.pdf,lighting,"Die Cast Aluminum
Housing
5.87”
(149)
6’-0” Adjustable
Power Supply
Cable
.25”
(635)
Adjustable
Power Supply
J-Box Canopy
Cover
4” Octagon Recessed
J-Box by others
Ø2.76” (70)
Ø5.00” (127)
JULRPB
	
CYLINDER PENDANT MOUNT
HEADQUARTERS
9200 Deering Avenue
Chatsworth CA 91311 
Telephone: 818-885-1335
Toll Free: 855-885-1335
Fax: 818-576-1335
PENDANT HOUSING
• Single downlight accent fixture / small size
• 2.76” Diameter cylindrical shape
• Die cast aluminum housing
• LED optical grade reflector
• 5” diameter canopy
• Powder coat finish
LED SOURCE
• CREE / ValuDIM™ Warm dimming
• Field replaceable optics available
• Will accept 1 lens and 1 louver
• 
Through ventilation passively cooled thermal
   management
ELECTRICAL
• 
Fully integral LED driver
• Phase dimmable power supply
MOUNTING
• 
Directly to junction box
• Surface canopy with 6’ adjustable cable
• and hardware supplied
LABELS
• Suitable for damp location
CATALOG NUMBER
TYPE
PROJECT
www.lfillumination.com
rev:051022
©2022 LF ILLUMINATION LLC
We reserve the right to change or 
withdraw specifications without prior notice.
Measurements in ( ) are metric equivalents.
ORDERING INFO                                                                                                                                                                    
SERIES
WATTAGE 
CRI / COLOR
BEAM
POWER SUPPLY
FINISH
JULRPB  
JULIE PENDANT
Small Downlight
08C  
8W LED 
801 lm del.
13C  
13W LED 
1078 lm del.
15C  
15W LED 
1208 lm del.
Delivered @ 80CRI / 3000K
Narrow Beam
8027   80CRI / 2700K 
8030   80CRI / 3000K
8035   80CRI / 3500K 
8040   80CRI / 4000K
9227   92CRI / 2700K 
9230   92CRI / 3000K
9235   92CRI / 3500K 
9240   92CRI / 4000K
9827   98CRI / 2700K 
9830   98CRI / 3000K
9835   98CRI / 3500K 
9840   98CRI / 4000K
N  Narrow 12°
M  Medium 25°
W  Wide 35°
V  Very Wide 55°
DMU   Dimming Multiple 
           Forward/Reverse Phase         
           (@ 120V only)
           0-10V Wires Present 
           (@ 120-277V)
BB   
All Black
WB
White with
Black Bezel
WW
All White
SB   
Silver with 
Black Bezel
Consult factory for 
custom colors
ValuDIM™
15V 15W LED / 
712lm del. / 3000-1800K 
Warm Dimming
Delivered @ 92CRI / 3000K
Narrow Beam
9220   
92CRI / 3000-1800K 
Warm Dimming     
(ValuDIM Only)
   
Ordering Example: JULRPB-13C-8030-M-DMU-BB
C
US
®
Limited
Specifications
LED
INTEGRAL DRIVER
SMALL"
https://www.focalpointlights.com/sites/default/files/FLCY3__Q.pdf,lighting,"Photometric performance is measured in accordance with IESNA LM-79.  
Visit focalpointlights.com for complete photometric data.
Focal Point LLC | 4141 S. Pulaski Rd, Chicago, IL 60632 | 773.247.9494 | focalpointlights.com
ID+ 3.5"" Cylinder
LED PENDANT WITH DECORATIVE REVEAL
FEATURES
DIMENSIONAL DATA (continued on page 3 & 4)
PERFORMANCE
White Glow 
Palladium Silver 
Custom RAL 
June 2022  Q
3.5'' cylinder pendant with decorative reveal; glow or  
non-glow options.
Custom color options for finish and glowing reveal. 
One-piece die-cast reflector with a knife edge for a  
modern aesthetic.
50° cut-off for brightness control and visual comfort.
Multiple canopy options enable various driver offerings and 
conduit installations while maintaining premier aesthetics.
Power cord, fixed and swivel stem suspension mounting options.
Warm Dim: Lighting that enhances spaces with a warm glow, 
reminiscent of incandescent or halogen light sources.
PoE compatible: Integrates with Power over Ethernet lighting 
systems via standard, low-voltage wires.
7.88""
200.2mm
2.55""
64.8mm
4.00""
101.6mm
Glowing Reveal
4"" Octogonal J-Box required
(By others)
Non-Glow Reveal
0.77""
4.00""
101.6mm
3.55""
90.2mm
1.56""
39.6mm
3.50""
88.9mm
4.00""
101.6mm
0.44""
8.13""
206.6mm
28˚ Narrow Flood
Lumen Output: 1500lm
Total System Watts: 17W
Spacing Criterion: 0.50
89˚ Super Wide Flood
Lumen Output: 1500lm
Total System Watts: 17W
 Spacing Criterion: 1.24
Not Compatible with
4"" Square J-Box
Surface Mount 
Companions 
Power Canopy 
Decorative  
Shallow Canopy
Shallow Canopy 
50˚ Swivel Stem 
Custom RAL 
Glow 
Black  
Non-Glow 
White 
White  
Non-Glow
Black"
https://www.signify.com/api/assets/v1/file/Signify/content/cbd5621f152243918593ab840107e6c6/D2L.pdf,lighting,"Project: 
Location: 
Cat.No: 
Type: 
Lamps: 	
Qty: 
Notes: 
Add detail and style to any space with the Micro Vetro  
accents and Calculite 1.75"" LED remodeler.
D2L  04/19  page 1 of 2
Downlighting
Decorative
D2L  Micro Vetro Accessory
Complete luminaire = Frame + Trim or Micro Vetro (optional) + Installation Accessories (if required)
Features
1.	 Acrylic decorative elements: Solid high temp, 
UV resistant composite with open aperture. 
Interior diameter is frosted polished exterior.
2.	Glass decorative elements: Solid high  
temp, UV resistant composite with open 
aperture. Interior diameter is frosted polished 
exterior. 
3.	
Die-cast construction ring: Exterior edge of 
construction ring is visible, satin aluminum fin-
ish matches diameter of decorative element 
for a flangelss appearance.
4.	
Standard CCL reflector: flanged provided, 
attached to element with (3) #4-40 screws.
5.	Aluminum insert: (D2L01 only) Satin aluminum 
ring is mechanically inserted in composite to 
create drama and intrigue in the element.
Mechanical
Decorative elements are mechanically secured 
to the die-cast construction ring and the inte-
gral reflector from the factory. Twist and lock 
the decorative element reflector attachment 
into the frame-in kit.
Optional frame-in kits available  
(C2LMP and C2LIC).
Labels
cULus Listed.  
Suitable for damp locations.
Decorative Element
example: D2LR01 + C3LV
Series
Model*
Use with frame-in kits
D2L	 
Decorative 
Element for 
1.75"" downlight
R01	
Reflector with Round acrylic with aluminum insert
R02	
Reflector with Round acrylic
R03	
Reflector with Round glass
S01	
Reflector with Square acrylic
S02	
Reflector with Square glass
C2L series frame-in kits only 
(Recommended use of 25° and 17°  
beam options for best performance)
Frame
example: C2L09DL930K30RUZ10V
Series
Lumens
Style
CCT / CRI
Installation
Voltage
C2L	 
Calculite LED 1.75""
09	 900 lm
DL	 Downlight
927	
2700K / 90CRI
930	 3000K / 90CRI
935	 3500K / 90CRI
940	 4000K / 90CRI
R	 
Install 
from 
below
E1	
120V
Z10U	

Universal with  
0-10V dimming
* The Comfort Clear (CCL) reflector finish is standard, other reflector finish options are available as variant requests."
