datasheet_link,target_col,content
https://www.te.com/usa-en/product-2154640-1.datasheet.pdf,others,"2154640-1
PCB Mount Hermaphroditic Connector, Right Angle, Board-to-Board, 2 Position, 4 
mm Centerline, Tin, Surface Mount, Power & Signal, Natural, Tape & Reel
08/10/2024 06:59AM | Page 1
 For support call+1 800 522 6752

 
 
 
Connectors >
 
PCB Connectors >
 
PCB Headers & Receptacles
 
Number of Rows: 1
 
Number of Positions: 2
 
Connector System: Board-to-Board
 
PCB Mount Orientation: Right Angle
 
PCB Connector Assembly Type: PCB Mount Hermaphroditic Connector
 
 
 
 
Features
Product Type Features
PCB Connector Assembly Type
PCB Mount Hermaphroditic Connector
Connector System
Board-to-Board
Sealable
No
Configuration Features
PCB Mount Orientation
Right Angle
Number of Positions
2
Number of Rows
1
Body Features
Primary Product Color
Natural
Contact Features
Mating Tab Width
3.05 mm[.12 in]
Mating Tab Thickness
.4 mm[.016 in]
Contact Mating Area Plating Material Finish
Matte
Contact Underplating Material
Nickel
 
 
2154640-1
ACTIVE
LUMAWISE
 
TE Internal #: 2154640-1
PCB Mount Hermaphroditic Connector, Right Angle, Board-to-
Board, 2 Position, 4 mm Centerline, Tin, Surface Mount, Power & 
Signal, Natural, Tape & Reel
View on TE.com >"
https://www.jkllamps.com/pdfs/BXA-12529.pdf,others,"- CAD DRAWING -
MANUAL REVISIONS NOT PERMITTED
DRAWN BY
APPV'D BY           DATE
SIZE
SCALE
SHEET
OF
	
DIMENSIONS ARE
IN MILLIMETERS
TOLERANCE UNLESS
OTHERWISE SPECIFIED
THIRD ANGLE
PROJECTION
	

L. WENGSTROM
A

RELEASED
DATE
  1 PL +/-     0.3
     2 PL +/-
ANGLE +/-      0
TITLE
DRAWING
NO.
 	


REV.
DESCRIPTION/ECO NO.
DATE
RELEASED
3/10/03
NONE
REVISION
DATE
REV.
NO.
12 V DUAL CCFL POWER SUPPLY
BXA-12529
3/10/03
A
DIM. CHANGE
3/27/03
B
RoHS COMPLIANCE
5/9/06
JKL PART NO.:  BXA-12529
                            *RoHS COMPLIANCE
1     2
C
CHNG. COMPONENT LAYOUT
3/21/17
D
ADD BOARD DIMENSIONS
8/28/17
44 MAX.
21 MAX.
15 MAX.
15.24±0.2
38.1±0.6
5.08±0.2
2.5±0.5
2.5±0.5
2
5
1
Ø0.8±0.1
[5]
7.5±1.0
1.2 TYP.
1 MAX.
 
V IN
GND
Q2
Q1
L1
C1
R1
 1
 2
 3
 4
GND
OUT 2
OUT 1
C2
C3
 5
DANGER
HIGH
VOLTAGE
DC 12V
E
ADD PHOTO
1/15/21
S.N.  1/15/21
1/15/21
E
3
4"
https://www.jkllamps.com/pdfs/BXA-601.pdf,others,"- CAD DRAWING -
MANUAL REVISIONS NOT PERMITTED
DRAWN BY
APPV'D BY           DATE
SIZE
SCALE
SHEET
OF
METRIC
DIMENSIONS ARE
IN MILLIMETERS
TOLERANCE UNLESS
OTHERWISE SPECIFIED
THIRD ANGLE
PROJECTION
FSCM NO.
L. WENGSTROM
A
55335
RELEASED
DATE
  1 PL +/-     0.3
     2 PL +/-
ANGLE +/-      0
TITLE
DRAWING
NO.
JKL COMPONENTS  CORPORATION
REV.
DESCRIPTION/ECO NO.
DATE
RELEASED AS CAD
7/18/03
NONE
REVISION
DATE
REV.
NO.
5V  DUAL CCFL INVERTER
BXA-601
7/18/03
1     2
A
CHNG. COMPONENT LAYOUT
3/21/17
JKL PART NO.:  BXA-601
RoHS COMPLIANCE
44 MAX.
21 MAX.
15.0 REF.
15.24±0.2
38.1±0.3
5.08±0.2
2.95 REF.
2.88 REF.
2
3
4
5
1
Ø0.8±0.1
[5]
7.5±1.0
 
V IN
GND
Q2
Q1
L1
C1
R1
 1
 2
 3
 4
GND
OUT 2
OUT 1
C2
C3
 5
DANGER
HIGH
VOLTAGE
B      CHNG. PHOTO 
1/15/21
S.N. 01/15/21
1/15/21
B"
https://www.jkllamps.com/pdfs/BXA-24529.pdf,others,"- CAD DRAWING -
MANUAL REVISIONS NOT PERMITTED
DRAWN BY
APPV'D BY           DATE
SIZE
SCALE
SHEET
OF
METRIC
DIMENSIONS ARE
IN MILLIMETERS
TOLERANCE UNLESS
OTHERWISE SPECIFIED
THIRD ANGLE
PROJECTION
FSCM NO.
L. WENGSTROM
A
55335
RELEASED
DATE
  1 PL +/-     0.3
     2 PL +/-
ANGLE +/-      0
TITLE
DRAWING
NO.
JKL COMPONENTS  CORPORATION
REV.
DESCRIPTION/ECO NO.
DATE
RELEASED
3/10/03
NONE
REVISION
DATE
REV.
NO.
24 V  CCFL POWER SUPPLY
BXA-24529
3/10/03
+V (V in)
V (GND)
OUT 1
OUT 2
OUT (GND)
1
2
3
4
5
BOARD
  PIN #
CHARACTERISTICS
INPUT VOLTAGE: (vdc)
INPUT CURRENT:  (mA)
OUTPUT VOLTAGE:  (Vrms)
OUTPUT CURRENT (mA) x 2
OUTPUT FREQUENCY:  (kHz)
OPERATING TEMP:  (CELSIUS)
INPUT
21.6
150
900
4.5
24
0
MIN     TYP    MAX
RL
4
V
A
2
V in
I in
V
V in
+
1
2
5
3
4
5
RL1
RL2
+
I in
A
A
A
I in
V in
V
1
+
2
I in
V in
V
GND
2
+
1
V in
1
N.C.
3
4
5
3
5
4
3
OUT
GND
OUT 2
OUT 1
RL
RL
1 LAMP - 10mA REF.
1 LAMP - 6.5mA REF.
1 LAMP - 5mA REF.
2 LAMP - 5mA EACH REF.
24.0
200
1000
5.5
27
25
26.4
250
1100
6.5
30
50
CAUTION:
REVERSE POLARITY TO INVERTER
INPUT WILL CAUSE AN OPEN CIRCUIT
IN FUSE F1.
1      1
CHNG DIMS & ADD RoHS NOTE
5/10/06
DIMS & CHAR. CHART CHANGES
6/4/18
A
B
38.1±0.5
15.24±0.5
2.5±0.5
2.5±0.5
5.08±0.5
44±0.5
21 MAX.
GND
PIN 5
PIN 1
PIN 4
PIN 3
PIN 2
OUT
C3
Q2
GND
L1
R1
Q1
15 MAX.
1.0 REF.
7.5±1.0
Ø1.1 REF.
[5 PLCS]
*JKL PART NO.:  BXA-24529
                            *RoHS COMPLIANCE
                             (CONTACT JKL FOR RoHS LOT IDENTIFICATION)
C2
C1
C
ADD PHOTO
1/4/22
c
S.N.       1/4/22
1/4/22"
https://www.hatchlighting.com/wp-content/uploads/2016/04/EHID20W_Mini.pdf,others,"WWW.HATCHLIGHTING.COM • 7821 Woodland Center Blvd. Tampa, FL 33614 • PH: 813.288.8006 • FX: 813.288.8105
20W Mini
Series
electronic HID ballasts
Universal Voltage Models
Case Material: Metal
Input
Nominal Voltage
Universal 120V to 277V
Frequency
50/60Hz
Line Regulation
± 5% output variation over full input range
Power Factor
> 0.95
Total Harmonic Distortion
< 10%
Case Dimensions & Mechanical Specifications:
Case style size Chart:
Electrical Specifications
Output
Lamp Operating Frequency
165Hz Square Wave
Lamp Current C.F.
<1.3
Ordering Information
Standard Case Quantity
50 Units
Unit Weight/Case Weight
0.70 lbs/37.5 lbs.
20
MC20-1-F-UNNU
20 Watt Universal Mini w/Feet
M/C156 Ceramic 
MH 
Wide Range Input  
108-305VAC
24 Watts
.20 Amps @ 120V
.12 Amps @ 208V
.10 Amps @ 240V
.09 Amps @ 277V
25
MC20-1-J-UNNU
20 Watt Universal Mini Bottom Feed 
w/Studs
Watts
Hatch
Part Number
Description
Lamp Types/
ANSI Codes
Voltage Range
Nominal Input
Power
Input Current/ 
Input Voltage
Max. Remote 
Distance (ft)
U - Mini
J - 
Bottom feed with studs
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 10”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
3.13”
3.45”
1.27”
2”
.375” height
8/32” thread
U - Mini
F - 
With feet
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 8""
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
2.96”
3.26”
1.21”
4.04”
3.75""
Pico
Pico2
Nano
Micro Slim
Slim
Mini
Standard
Center line to center line is .16"" less than 
end to end on models with mounting feet.
Product Features :
- Thermal protection
- Approved for recessed use
- 
Micro Processor Controlled
	
- Safety Shut Down Features
	
- 
Superior Hot Lamp Restrike  
Characteristic
- Low Voltage Lamp Shutdown
- Sound Rated: A

- Minimum Starting Temperature: -30°C
- Maximum Case Temperature: 80°C
- 
Complies with FCC Part 18 (Class B)  
Consumer limits
- Up to 5 Year Warranty
- Lamp end-of-life protected

-Transient Protection Meets ANSI/IEEE C62.41 Cat A
- Short Circuit Protection
- 
Open Circuit/No Lamp/ Hot Lamp Shutdown, Retry 
and Ignition Failure Protection:
	

Ignition failure shutdown in 5 seconds followed by 
multiple timed restrikes with lamp ignition or timed 
shutdown until power is reset (restrike  
timing is lamp wattage dependent)
Wiring Diagrams:
RoHS
COMPLIANT
APPROVALS:
Type 1 Outdoor
BlaCK
Ballast
WHite
BlUe
ReD
gReen
gRoUnD
Mounting Diagram:
3.75""
1.48”
1.48”
1.48""
1.48”
LABEL SIDE UP
Each case style listed in the Size Chart represents a side lead model with no  
mounting feet. All HATCH E-HID Ballasts are available in several mounting and wiring 
configurations, each with slightly different dimensions from those listed in the chart. 
REV: 1.0 120312"
https://www.hatchlighting.com/wp-content/uploads/2016/04/EHID39W_Mini.pdf,others,"WWW.HATCHLIGHTING.COM • 7821 Woodland Center Blvd. Tampa, FL 33614 • PH: 813.288.8006 • FX: 813.288.8105
39W Mini
Series
electronic HID ballasts
Universal Voltage Models
Case Material: Metal
Input
Nominal Voltage
Universal 120V to 277V
Frequency
50/60Hz
Line Regulation
± 5% output variation over full input range
Power Factor
> 0.95
Total Harmonic Distortion
< 10%
Case Dimensions & Mechanical Specifications:
Case style size Chart:
Electrical Specifications
Output
Lamp Operating Frequency
165Hz Square Wave
Lamp Current C.F.
<1.3
Ordering Information
Standard Case Quantity
50 Units
Unit Weight/Case Weight
0.51 lbs/28 lbs
Watts
Hatch
Part Number
Description
Lamp Types/ANSI 
Codes
Voltage Range
Nominal Input
Power
Input Current/ 
Input Voltage
Max. Remote 
Distance (ft)
Pico
Pico2
Nano
Micro Slim
Slim
Mini
Standard
U - Mini
J - 
Bottom feed with studs
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 10”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
3.13”
3.45”
1.27”
2”
.375” height
8/32” thread
U - Mini
F - 
With feet
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 8""
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
2.96”
3.26”
1.21”
4.04”
3.75""
39
MC39-1-F-UNNU
39 Watt Universal Mini w/Feet
M130 Ceramic MH
Wide Range Input  
108-305VAC
44 Watts
.37 Amps @ 120V
.22 Amps @ 208V
.19 Amps @ 240V
.16 Amps @ 277V
25
MC39-1-J-UNNU
39 Watt Universal Mini Bottom 
Feed w/Studs
Product Features :
- Thermal protection
- Approved for recessed use
- 
Micro Processor Controlled
	
- Safety Shut Down Features
	
- 
Superior Hot Lamp Restrike  
Characteristic
- Low Voltage Lamp Shutdown
- Sound Rated: A

- Minimum Starting Temperature: -30°C
- Maximum Case Temperature: 80°C
- 
Complies with FCC Part 18 (Class B)  
Consumer limits
- Up to 5 Year Warranty
- Lamp end-of-life protected

-Transient Protection Meets ANSI/IEEE C62.41 Cat A
- Short Circuit Protection
- 
Open Circuit/No Lamp/ Hot Lamp Shutdown, Retry 
and Ignition Failure Protection:
	

Ignition failure shutdown in 5 seconds followed by 
multiple timed restrikes with lamp ignition or timed 
shutdown until power is reset (restrike  
timing is lamp wattage dependent)
Wiring Diagrams:
RoHS
COMPLIANT
APPROVALS:
Type 1 Outdoor
BlaCK
Ballast
WHite
BlUe
ReD
gReen
gRoUnD
Mounting Diagram:
3.75""
1.48”
1.48”
1.48""
1.48”
LABEL SIDE UP
Center line to center line is .16"" less than 
end to end on models with mounting feet.
Each case style listed in the Size Chart represents a side lead model with no  
mounting feet. All HATCH E-HID Ballasts are available in several mounting and wiring 
configurations, each with slightly different dimensions from those listed in the chart. 
REV: 1.0 120312"
https://www.hatchlighting.com/wp-content/uploads/2016/04/EHID70W_Mini.pdf,others,"WWW.HATCHLIGHTING.COM • 7821 Woodland Center Blvd. Tampa, FL 33614 • PH: 813.288.8006 • FX: 813.288.8105
70W Mini
Series
electronic HID ballasts
Universal Voltage Models
Case Material: Metal
Input
Nominal Voltage
Universal 120V to 277V
Frequency
50/60Hz
Line Regulation
± 5% output variation over full input range
Power Factor
> 0.95
Total Harmonic Distortion
< 10%
Case Dimensions & Mechanical Specifications:
Case style size Chart:
Electrical Specifications
Output
Lamp Operating Frequency
165Hz Square Wave
Lamp Current C.F.
<1.3
Ordering Information
Standard Case Quantity
50 Units
Unit Weight/Case Weight
0.70 lbs/37.5 lbs
Watts
Hatch
Part Number
Description
Lamp Types/ANSI 
Codes
Voltage Range
Nominal Input
Power
Input Current/ 
Input Voltage
Max. Remote 
Distance (ft)
Pico
Pico2
Nano
Micro Slim
Slim
Mini
Standard
U - Mini
J - 
Bottom feed with studs
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 10”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
3.13”
3.45”
1.27”
2”
.375” height
8/32” thread
U - Mini
F - 
With feet
Mounting
Case style
 Wiring Information
 Lead Length :
Input/Output : 8""
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
2.96”
3.26”
1.21”
4.04”
3.75""
70
MC70-1-F-UNNU
70 Watt Universal Mini w/Feet
M/C85, M/C98, 
M/C139, M/C143 
Ceramic 
MH
Wide Range Input  
108-305VAC
78 Watts
.65 Amps @ 120V
.37 Amps @ 208V
.32 Amps @ 240V
.28 Amps @ 277V
25
MC70-1-J-UNNU
70 Watt Universal Mini Bottom 
Feed w/Studs
Product Features :
- Thermal protection
- Approved for recessed use
- 
Micro Processor Controlled
	
- Safety Shut Down Features
	
- 
Superior Hot Lamp Restrike  
Characteristic
- Low Voltage Lamp Shutdown
- Sound Rated: A

- Minimum Starting Temperature: -30°C
- Maximum Case Temperature: 80°C
- 
Complies with FCC Part 18 (Class B)  
Consumer limits
- Up to 5 Year Warranty
- Lamp end-of-life protected

-Transient Protection Meets ANSI/IEEE C62.41 Cat A
- Short Circuit Protection
- 
Open Circuit/No Lamp/ Hot Lamp Shutdown, Retry 
and Ignition Failure Protection:
	

Ignition failure shutdown in 5 seconds followed by 
multiple timed restrikes with lamp ignition or timed 
shutdown until power is reset (restrike  
timing is lamp wattage dependent)
Wiring Diagrams:
RoHS
COMPLIANT
APPROVALS:
Type 1 Outdoor
BlaCK
Ballast
WHite
BlUe
ReD
gReen
gRoUnD
Mounting Diagram:
3.75""
1.48”
1.48”
1.48""
1.48”
LABEL SIDE UP
Center line to center line is .16"" less than 
end to end on models with mounting feet.
Each case style listed in the Size Chart represents a side lead model with no  
mounting feet. All HATCH E-HID Ballasts are available in several mounting and wiring 
configurations, each with slightly different dimensions from those listed in the chart. 
REV: 1.0 120312"
https://www.hatchlighting.com/wp-content/uploads/2016/04/EHID70W_MicroSlim.pdf,others,"WWW.HATCHLIGHTING.COM • 7821 Woodland Center Blvd. Tampa, FL 33614 • PH: 813.288.8006 • FX: 813.288.8105
70W Micro Slim
Series
ELECTRONIC HID BALLASTS
Universal Voltage Models
Case Material: Polycarbonate
Input
Nominal Voltage
Universal 120V to 277V
Frequency
50/60Hz
Line Regulation
± 5% output variation over full input range
Power Factor
> 0.95
Total Harmonic Distortion
< 10%
CASE DIMENSIONS & MECHANICAL SPECIFICATIONS:
ELECTRICAL SPECIFICATIONS
Output
Lamp Operating Frequency
165Hz Square Wave
Lamp Current C.F.
<1.3
Ordering Information
Standard Case Quantity
50 Units
Unit Weight/Case Weight
0.54 lbs/29.5 lbs.
70
MC70-1-F-UNNS
70 Watt Universal Micro Slim w/Feet 
and Leads out Opposite sides
M/C85, M/C98, 
M/C139, M/C143 
Ceramic
MH
Wide Range Input 
108-305VAC
78 Watts
.65 Amps @ 120V
.37 Amps @ 208V
.32 Amps @ 240V
.28 Amps @ 277V
25
MC70-1-T-UNNS
70 Watt Universal Micro Slim Track 
w/Leads out Opposite Sides
MC70-1-F-UNNSL
70 Watt Universal Micro Slim w/Feet 
and Leads out One side
MC70-1-T-UNNSL
*Not Shown
70 Watt Universal Micro Slim Track 
w/Leads out One Side
Watts
Hatch
Part Number
Description
Lamp Types/
ANSI Codes
Voltage Range
Nominal Input
Power
Input Current/ 
Input Voltage
Max. Remote 
Distance (ft)
CASE STYLE SIZE CHART:
MOUNTING
MOUNTING
MOUNTING
CASE STYLE
CASE STYLE
CASE STYLE
SL - Micro Slim
Leads out one side
F - With feet
 Wiring Information
 Lead Length :
Input/Output : 8”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
1.21”
4.70”
1.70”
1.21”
4.70”
5.50”
1.70”
5.13""
1.21”
1.70”
5.50”
4.70”
5.13""
 Wiring Information
 Lead Length :
Input: 10"", Output : 8”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
 Wiring Information
 Lead Length :
Input: 10”, Output : 8”
 Wire Type :
Input: 18AWG, 105°C, 600V
Operating Temperatures
 Minimum Starting Temperature :
-30°C
 Maximum Case Temperature :
80°C
S - Micro Slim
Leads out opposite side T - Track mount w/o feet
S - Micro Slim
Leads out opposite side F - With feet
Pico
Pico2
Nano
Micro Slim
Slim
Mini
Standard
PRODUCT FEATURES :
- Thermal protection
- Approved for recessed use
- 
Micro Processor Controlled
	
- Safety Shut Down Features
	
- 
Superior Hot Lamp Restrike 
Characteristic
- Low Voltage Lamp Shutdown
- Sound Rated: A

- Minimum Starting Temperature: -30°C
- Maximum Case Temperature: 80°C
- 
Complies with FCC Part 18 (Class B) 
Consumer limits
- Up to 5 Year Warranty
- Lamp end-of-life protected

-Transient Protection Meets ANSI/IEEE C62.41 Cat A
- Short Circuit Protection
- 
Open Circuit/No Lamp/ Hot Lamp Shutdown, Retry 
and Ignition Failure Protection:
	

Ignition failure shutdown in 5 seconds followed by 
multiple timed restrikes with lamp ignition or timed 
shutdown until power is reset (restrike 
timing is lamp wattage dependent)
WIRING DIAGRAMS:
RoHS
COMPLIANT
APPROVALS:
Type 1 Outdoor
BLACK
BALLAST
WHITE
BLUE
RED
GREEN
GROUND
MOUNTING DIAGRAM:
5.13""
1.40""
1.40""
LABEL SIDE UP
Each case style listed in the Size Chart represents a side lead model with no 
mounting feet. All HATCH E-HID Ballasts are available in several mounting and wiring
configurations, each with slightly different dimensions from those listed in the chart. 
REV: 1.0 120312"
https://www.hatchlighting.com/wp-content/uploads/2016/04/HL232BIS-UV-HE-W.pdf,others,"WWW.HATCHLIGHTING.COM • 7821 W OODLAND CENTER BL
VD. T
AMPA, FL 33614 • PH: 813.288.8006 • FX: 813.288.8105
HL232BIS/UV/HE/W
PART NO.
ELECTRONIC 
LINEAR FLUORESCENT BALLAST
For 2x32 WATT T8 LAMPS
Input Voltage
120~277Vac ± 10%
Ballast Factor
Normal
Starting Method
Instant Start
Lamp Connection
Parallel
Lamp Type
No. of Lamps
Volts
Input Watts
Input 
Current 
(Amps)
Power 
Factor
Crest 
Factor
Ballast Factor
Ballast 
Efﬁcacy 
Factor
Max THD%
F32T8 32W
2
120
57
0.48
0.99
<1.7
0.90
1.58
<10
277
58
0.21
0.99
<1.7
0.91
1.58
<10
1
120
35
0.31
0.99
<1.7
1.09
3.11
<10
277
35
0.14
0.98
<1.7
1.09
3.11
<10
F32T8 30W
2
120
52
0.44
0.99
<1.7
0.87
1.67
<10
277
52
0.19
0.99
<1.7
0.87
1.67
<10
1
120
32
0.27
0.99
<1.7
1.05
3.28
<10
277
32
0.12
0.98
<1.7
1.05
3.28
<12
F32T8 28W
2
120
49
0.41
0.99
<1.7
0.87
1.78
<10
277
49
0.18
0.99
<1.7
0.87
1.78
<10
1
120
31
0.25
0.99
<1.7
1.17
3.79
<10
277
31
0.11
0.98
<1.7
1.17
3.79
<10
F32T8 25W
2
120
44
0.37
0.99
<1.7
0.87
1.98
<10
277
44
0.16
0.99
<1.7
0.87
1.98
<10
1
120
29
0.23
0.99
<1.7
1.15
3.96
<10
277
29
0.10
0.98
<1.7
1.15
3.96
<10
F25T8 25W
2
120
44
0.37
0.99
<1.7
0.88
2.00
<10
277
44
0.16
0.99
<1.7
0.88
2.00
<10
1
120
28
0.23
0.99
<1.7
1.14
4.07
<10
277
28
0.10
0.97
<1.7
1.14
4.07
<12
F17T8 17W 
2
120
32
0.26
0.99
<1.7
0.96
3.00
<10
277
32
0.11
0.98
<1.7
0.96
3.00
<12
1
120
21
0.17
0.99
<1.7
1.31
6.25
<10
277
22
0.08
0.95
<1.7
1.31
5.95
<15
F40T8 40W
1
120
42
0.34
0.99
<1.7
1.05
2.50
<10
277
42
0.15
0.99
<1.7
1.02
2.44
<10
 
 
-Sound Rated: A
  
-Minimum Starting Temperature: 0°F, -18°C
-Maximum Case Temperature: 167°F, 75°C
-Meets FCC Part 18 (Class A) Non-consumer limits
-5 Year Warranty
-Input Frequency 50Hz/60hz
-Ballast frequency for all listed lamps: >40kHz
 
-Length (L): 9.50”
  
-Width (W): 1.16”
-Height (H): 1.05”
-Mounting (M): 9.0”
Lead Length:
-White, Black: 25”
-Blue: 31
-Red: 48”
 
 
PERFORMANCE:
WIRING DIAGRAM:
T
     
POINT LOCATION:
APPROVALS:
PHYSICAL DIMENSIONS:
LAMP
LAMP
RED
 
 
m
m
0
6
1
6.3in
12.7mm 
 
0.5in  
RED
BLUE
BLUE
BLACK
WHITE
LINE
ELECTRICAL 
SPECIFICATIONS BY LAMP TYPE
CERTIFICATIONS
FRONT OF BALLAST
c
BLUE
BLUE
BLACK
WHITE
BALLAST
Two Lamp Application
(Cap off 1 Blue Lead for 1 Lamp Application)
M
W
H
L
NEMA
Premium
R
APPROVED
REV: 110717
- Transient Protection Meets
   ANSI/IEEE C62.41 Cat A
- UL, cUL 935 listed, Class P, 
   Type 1 Outdoor
- Compatible with LED Tubes
  see LED Tube Manufacturer
  Compatibility Lists"
https://www.hatchlighting.com/wp-content/uploads/2021/08/Smart-Kit-Spec-1.pdf,others,"PRECISION POWER. PERFECT LIGHT.
Ballast Replacement Kit
Ballast Replacement Kit
REV: 290512
Visit us at www.HatchLighting.com to view all our products
Since 1985, Hatch has been the recognized market 
leader in the design and manufacture of premium 
power lighting products and solutions. Hatch offers a 
complete line of electronic and magnetic ballasts and 
transformers for virtually all lighting applications and 
is one of the largest independent, full-line power supply 
manufacturers in the world. 
ABOUT
7821 Woodland Center 
Blvd. 
Tampa FL 33614
813 288 8006 p
813 288 8105 f
hatchlighting.com
Smart Kit Cross Reference
Hatch Compact Fluorescent Smart Kits are designed to make ballast replacement simple 
and easy. Smart Kits are available with 13 Watt, 18 Watt, 26 Watt & 42 Watt ballasts.
Hatch Smart Kit
Universal
Advance
Osram
Robertson
GE
Keystone
HC213PS/UV/K
C213UNVSE000K/BE/BES
ICF-2S13-H1-LD
QTP 1/2x13CF/UNV
PSM213CQMV
GEC213-MVPS-SE
GEC213-MVPS-BES
KTEB-213-UV-TP-PSD
HC218PS/UV/K
C218UNVSE/BE/BES
ICF-2S18-H1-LD
REL-2Q18
VEL-2Q18
R-2Q18-4P-TP
V-2Q18-4P-TP
QTP 1/2x18CF/UNV
PSM218CQMV
GEC218-MVPS-SE
GEC218-MVPS-BES
KTEB-218-UV-TP-PSD
HC226PS/UV/K
C2642UNVSE/BE/BES
C132SR120BE
C132SR277BE
C266SR120BE
C226SR277BE
ICF-2S26-H1-LD
REL-1T32
VEL-1T32
REL-1T42
VEL-1T42
QTP 1X26/32/42CF/UNV
QTP 2X26/UNV
QTP 1/2xCF/UNV
PSM226CQMV
GEC226-MVPS-SE
GEC226-MVPS-BES
KTEB-226-UV-TP-PSD
HC242PS/UV/K
C242UNV BE/SE/BES
ICF-2S42-M2-BS
ICF-2S42-MS-LD
ICF-2S42-MS-LS
PSP242T-RMVW
C242UNVSE
C242UNVBES
GEC242-MVPS-BES
GEC242-MVPS-SE
KTEB-242T-UV-TP-PSD
• Electronic Universal Programmed Start Ballasts.
•  
Low profile cases to fit most fixtures.
•  
Simple mounting with color coded, bottom and side  
push-in connectors.
•  
Integrated End-Of-Lamp life protection.
•  
THD under 10% in most applications.
•  
Maximum case temperature of 90° C wich is  
beneficial when used in recessed fixture applications.
SMART
KIT
™
Smart Kit Includes:
•  
Wires, wire removal tool & adapter plate with  
studs for maximum flexibility.
•  
Mounting plate uses simple crimp tabs to  
mount to ballast. There are no small screws or  
mounting hardware to lose.
•  
Ability to use a single ballast for one or two  
lamp applications"
