datasheet_link,target_col,content
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/DS-CD05-CC_SPSHT.PDF,lighting,"Fixture Type:
Catalog Number:
Project:
Location:
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program.   Jul 2018
waclighting.com
Phone (800) 526.2588
Fax       (800) 526.2585
Headquarters/Eastern Distribution Center
44 Harbor Park Drive  
Port Washington, NY 11050
Central Distribution Center
1600 Distribution Ct
Lithia Springs, GA 30122
Western Distribution Center  
1750 Archibald Avenue  
Ontario, CA 91760
TUBE ARCHITECTURAL   DS-CD05 (CC)
Color Changing LED Ceiling
Diameter
Power
Beam
Delivered Lumens 
@ 3000K
CBCP
@ 3000K
Color Temp
Finish
DS-CD05
5""
31W
S
N
F
15°
25°
33°
735
645
620
6186
1951
1386
CC
Color Changing
BK
WT
BZ
GH
Black
White
Bronze
Graphite
PRODUCT DESCRIPTION
The latest LED, Bluetooth, and DMX technology for precise color
selection in an appealing cylindrical profile. Perfect for accent and wall
wash lighting. Available in various light distribution and beam angle
options.
FEATURES
•	 Full color gamut control through gradients of saturated  
     colors from 1-100%
•	 Tunable White (CCT) Range: 1650-8000K
•	 Bluetooth control via ilumenight™ iOS App
•	 High performance LED ceiling light
•	 Solid die cast aluminum construction
•	 5 year warranty
SPECIFICATIONS
Input: 
Controls:
Dimming:
Light Source: 
Finish:
Standards:
Operating 
Temperature:
Universal voltage 120V - 277V, 50/60Hz
DMX512-A with advanced commissioning via Bluetooth.
Bluetooth v4.0 - Configured with ilumenight™ iOS App for 
localized ( within 150ft line of sight ) groups of 8 luminaires or 
less.   ( DMX512-A hardwire recommended for high wireless signal 
interference environments ). 
100%-1% in CCT & Color via DMX or Bluetooth control 
High output 2 Step MacAdam Ellipse LEDs, 90+ CRI  
Rated life of 50,000 hours at L70
Electrostatically powder coated white, black, bronze and graphite
IP65 rated, ETL & cETL wet location listed
-40°F to 104°F (-40°C to 40°C)
78”
4d”
DS-CD05-__-CC-___
Example: DS-CD05-S-CC-WT"
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/DS-CD06_SPSHT.pdf,lighting,"Fixture Type:
Catalog Number:
Project:
Location:
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program.   SEPT 2019
waclighting.com
Phone (800) 526.2588
Fax       (800) 526.2585
Headquarters/Eastern Distribution Center
44 Harbor Park Drive  
Port Washington, NY 11050
Central Distribution Center
1600 Distribution Ct
Lithia Springs, GA 30122
Western Distribution Center  
1750 Archibald Avenue  
Ontario, CA 91760
TUBE ARCHITECTURAL   DS-CD06
LED Ceiling Mounts
DS-CD06-_____-___
Example: DS-CD06-N927-BK
ORDERING NUMBER
Diameter
Watt
Beam
Beam 
Angle Color       Temp
 CRI 
Lumens
CBCP
Efficacy 
(Lm/W)
Light Distribution
Finish
DS-CD06      35W
S
Spot
16°
927
27
930
30
35
40
2700K 
2700K
3000K 
3000K
3500K
4000K
90
85
90
85
85
85
BK
WT
BZ
GH
Black
White
Bronze
Graphite
N
Narrow
28°
927
27
930
30
35
40
2700K 
2700K
3000K 
3000K
3500K
4000K
90
85
90
85
85
85
F
Flood
38°
927
27
930
30
35
40
2700K 
2700K
3000K 
3000K
3500K
4000K
90
85
90
85
85
85
PRODUCT DESCRIPTION
 The latest energy eﬃcient LED technology in an appealing cylindrical 
profile delivers accent lighting. Comes in various light beam angle 
options.
FEATURES
•	
High performance exterior rated LED ceiling light
•	
Solid aluminum construction	
•	 5 year warranty
SPECIFICATIONS
Input: 
Dimming:
Light Source:
Finish:
Standards:
Operating Temp:

Universal voltage 120V - 277VAC, 50/60Hz 
Electronic low voltage (ELV) : 100% - 5% 
0-10V: 100% - 1% 
High output 3 Step Mac Adam Ellipse COB  
Rated life of 60,000 hours at L70
Electrostatically powder coated, white, black, bronze  
and graphite
IP65 rated, ETL & cETL wet location listed,
Energy Star® 2.2 rated   Title 24 JA8-2016 Compliant 
-13°F to 122°F (-25°C to 50°C)
92”
6a”
2820
3385
2925
3535
3630
3665 
18842
22608
19543
23632
24255
24490
81
97
84
101
104
105
16°
2800
3360
2900
3510
3600
3635
7992
9589
8290
10024
10288
10388
80
96
83
100
103
104
28°
2825 
3390
2930
3545
3640
3675
5451
6540
5654
6836
7017
7085
81
97
84
101
104
105
38°
DS-CD0622    22W
1Reference output shows 35W output. Multiply by 0.7 to determine output for 22W combinations.
Reference Output 1"
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/DS-CD08_SPSHT.pdf,lighting,"Fixture Type:
Catalog Number:
Project:
Location:
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program.  SEPT 2019
waclighting.com
Phone (800) 526.2588
Fax       (800) 526.2585
Headquarters/Eastern Distribution Center
44 Harbor Park Drive  
Port Washington, NY 11050
Central Distribution Center
1600 Distribution Ct
Lithia Springs, GA 30122
Western Distribution Center  
1750 Archibald Avenue  
Ontario, CA 91760
TUBE ARCHITECTURAL   DS-CD08
LED Ceiling Mounts
ORDERING NUMBER
Diameter
Watt
Beam
Beam 
Angle Color          Temp
 CRI 
Lumens
CBCP
Efficacy 
(Lm/W)
Light Distribution
Finish
DS-CD08
46W
S
Spot
18° 
927
27
930
30
35
40
2700K
2700K
3000K
3000K
3500K
4000K
90
85
90
85
85
85
3080
3865
3275
3935
4030
4095
15187
19064
16156
19387
19872
20195
67
84
71
86
88
89
BK
WT
BZ
GH
Black
White
Bronze
Graphite
N
Narrow
25° 
927
27
930
30
35
40
2700K
2700K
3000K
3000K
3500K
4000K
90
85
90
85
85
85
3185
4000
3390
4070
4170
4240
10536
13226
11208
13450
13786
14010
68
87
74
88
91
92
F
Flood
35° 
927
27
930
30
35
40
2700K
2700K
3000K
3000K
3500K
4000K
90
85
90
85
85
85
3015
3785
3210
3850
3945
4010 
5475
7211
6111
7334
7517
7639
66
82
70
84
86
87
PRODUCT DESCRIPTION
The latest energy eﬃcient LED technology in an appealing cylindrical 
profile delivers accent lighting. Comes in various light beam angle 
options.
FEATURES
•	
High performance exterior rated LED ceiling light
•	
Solid aluminum construction
•		
5 year warranty
SPECIFICATIONS
Input: 
Dimming:
Light Source:
Finish:
Standards:
Operating Temp:

Universal voltage 120V - 277VAC, 50/60Hz Electronic 
low voltage (ELV) : 100% - 5% 
0-10V: 100% - 1% 
High output 3 Step Mac Adam Ellipse COB  
Rated life of 60,000 hours at L70
Electrostatically powder coated, white, black, bronze  
and graphite
IP65 rated, ETL & cETL wet location listed,
Energy Star® 2.2 rated   Title 24 JA8-2016 Compliant 
-13°F to 122°F (-25°C to 50°C)
11w”
7d”
DS-CD08-_____-___
Example: DS-CD08-N927-BK
18° 
25° 
35° 
DS-CD0834
34W
1Reference output shows 46W output. Multiply by 0.8 to determine output for 34W combinations.
Reference Output 1"
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/F-073L_SPSHT.pdf,lighting,"WAC retains the right to modify the design of our products at any time as part of the company's continuous improvement program.   Jun 2021
waclighting.com
Phone (800) 526.2588
Fax       (800) 526.2585
Headquarters/Eastern Distribution Center
44 Harbor Park Drive  
Port Washington, NY 11050
Central Distribution Center
1600 Distribution Ct
Lithia Springs, GA 30122
Western Distribution Center 
1750 Archibald Avenue  
Ontario, CA 91760
PRODUCT DESCRIPTION
ATLANTIS from WAC LIMITED offers a Damp rated, high-value fan 
with three speed options and can be reversed from the housing to 
pull hot air up during winter months. Enhance your interiors with 
the gently-curved shape of this elegant fan. 
FEATURES					
SPECIFICATIONS
Construction: 
Blade:  
Wire: 
Hanging Weight: 
Total Power:  
Standards:
Motor Type: 
Steel, Plywood
13º Pitch, 52” sweep
8” 
18 lbs 
83W
Title 24 Compliant, Title 20 Compliant, 
Energy Star Rated, UL, cUL 
AC-153 x 16
• 3 fan speeds
• Silent AC motor
• Pull chain operation
• Fan is reversible from housing
• Dim using ELV dimmer 
AIRFLOW/ENERGY EFFICIENCY
3046/4116 CFM 
40/63 (High) 
11 
75 (High) 
186
F-073L-___
Example: F-073L-MB
Weighed-Average Airflow/High: 
Energy Use (W): 
Estimated Yearly Energy Cost ($): 
Efficiency (CFM/W):
Max RPM:
ORDER NUMBER 
Model
Housing
Blade
F-002L
BN  
MB 
MW
Brushed Nickel 
Matte Black
Matte White
TT 
MB 
MW
Titanium Silver 
Matte Black
Matte White
LUMINAIRE PERFORMANCE 
Light Source: 
Light Wattage: 
Lumens/Delivered Lumens: 
Dimming: 
CRI: 
Color Temperature: 
Rated Life:
LED 
19.5W 
1600/708
ELV
90
3000K 
50,000 hours
ATLANTIS FLUSH 
F-073L
52” Flush Mount Fan"
https://www.waclighting.com/product/dot/?download=specs3&1676612918,lighting,"Dot
Ceiling Mount
  Fixture Type:
 
 
Catalog Number:
 
 
Project:
 
 
Location:
  
    Model & Size
  Color Temp
  Finish
  LED Watts
  LED Lumens
  Delivered Lumens
  
 FM-W57806    6""
 
  
 3000K
 
  
 BK    Black
  
 SS    Stainless Steel
 
  10W
 
  878
 
  574
 
  
    Example:  FM-W57806-30-SS
For custom requests please contact customs@waclighting.com
 
DESCRIPTION
 
  Optimal diffuser amplifies the rightness on this durable waterproof outdoor
flush mount. 
 
FEATURES
 
• Lightweight, injection-molded, UV-rated acrylic diffuser enhances
brightness, safety lock prevents slippage
• 277V option available for 9"", 12"" & 15"" sizes (special order)
• Built in color temperature adjustability. Switch from 2700K/3000K/3500K
• Compact 3CCT switch installs within the junction box
• Option to pre-select color temperature or adjust in the field
• 0-10V dimming option (LDS065M010AFE-LO1) available (special order), unit
dimensions: 3.4"" x 1.2"" x 0.5""
• ACLED driverless technology
• 5 year warranty
 
 
 
  SPECIFICATIONS
  Color Temp:
3000K
  Input:
120 VAC,50/60Hz
  CRI:
90
  Dimming:
ELV: 100-10% ,TRIAC: 100-10%
  Rated Life:
50000 Hours
  Mounting:
Can be mounted on ceiling or wall in all orientations
  Standards:
ETL, cETL,IP65,Title 24 JA8 Compliant,Energy Star 2.0
Wet Location Listed
  Construction:
Weather-resistant 316 stainless steel body with thick
acrylic shade
 
 
 
 
  
 FINISHES:
Black
Stainless
Steel
 LINE DRAWING:
  
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H
H
H"
https://www.waclighting.com/product/tube-pendant-downlight/?download=specs2&1676588377,lighting,"Tube Pendant Downlight 
Ceiling Mount 3000K
    Fixture Type:
 
 
  Catalog Number:
 
 
  Project:
 
 
  Location:
  
    Model & Size
  Color Temp & CRI
  Watt
  Lumens
  Finish
  
 PD-W2605 5""
 
  
 3000K 90
 
  16W
 
  1188
  800
 
  
 AL Brushed Aluminum
  
 BK Black
  
 BZ Bronze
  
 GH Graphite
  
 WT White
 
  
    Example:  PD-W2605-AL
 
DESCRIPTION
 
  Precision engineered using advanced proprietary LED technology with a built-
in reflector. An appealing cylindrical profile with powerful LED lighting is perfect
for accent downlighting applications. Five architectural metallic finishes offered.
 
FEATURES
 
• Hang-straight swivel
• Three 12"" and one 6"" down rods included
• Title 24 may not be available for all finishes, check for availability
• Driver concealed within the canopy
• 5 year warranty
 
 
 
SPECIFICATIONS
Construction:
Die-cast Aluminum
Power:
16W
Input:
120-277V, 50/60Hz
Dimming:
ELV: 100-10% , 0-10V: 100-5%
Light Source:
Integrated LED
Rated Life:
70000 Hours
Mounting:
Mounts directly to junction box
Finish:
Powder Coat White:White, Powder Coat White::Brushed
Aluminum, Powder Coat White:::Bronze, Powder Coat
White::::Graphite, Powder Coat White:::::Black
Operating Temp:
-40°F to 122°F (-40°C to 50°C)
Standards:
ETL, cETL, Wet Location Listed, IP65, Title 24 JA8
Compliant
 
 
 
 
   
 FINISHES:
Black
Graphite
Bronze
Brushed
Aluminum
White
 LINE DRAWING:
  
Powered by TCPDF (www.tcpdf.org)
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H
H
H
H
H
H"
https://www.waclighting.com/product/bradbury/?download=specs3&1676622100,lighting,"Bradbury
Outdoor Ceiling Mount
  Fixture Type:
 
 
Catalog Number:
 
 
Project:
 
 
Location:
  
    Model & Size
  Color Temp
  Finish
  LED Watts
  LED Lumens
  Delivered Lumens
  
 FM-W93216    16""
 
  3000K/3500K/4000K
 
  
 BK    Black
 
  18W
 
  1300
 
  402
 
  
    Example:  FM-W93216-BK
For custom requests please contact customs@waclighting.com
 
DESCRIPTION
 
  Opal glass illuminates with a custom, selectable choice of three color
temperatures.
 
FEATURES
 
• Built in color temperature adjustability. Switch from 3000K/3500K/4000K
• Option to pre-select color temperature or adjust in the field
• ACLED driverless technology
• 5 Year warranty
 
 
 
  SPECIFICATIONS
  Color Temp:
3000K/3500K/4000K
  Input:
120 VAC,50/60Hz
  CRI:
90
  Dimming:
ELV: 100-10% ,TRIAC: 100-10%
  Rated Life:
50000 Hours
  Standards:
ETL, cETL,IP44,Title 24 JA8 Compliant
Wet Location Listed
  Construction:
Iron body, mouth blown opal glass diffuser
 
 
 
 
REPLACEMENT PARTS
 
  RPL-GLA-93216 - Glass
  HDW-LG22-CE - Hardware Pack
  
 FINISHES:
Black
 LINE DRAWING:
  
Powered by TCPDF (www.tcpdf.org)
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H"
https://www.waclighting.com/product/hawthorne-2/?download=specs3&1676622100,lighting,"Hawthorne
Outdoor Ceiling Mount 3000K
  Fixture Type:
 
 
Catalog Number:
 
 
Project:
 
 
Location:
  
    Model & Size
  Color Temp
  Finish
  LED Watts
  LED Lumens
  Delivered Lumens
  
 FM-W33113    13""
 
  3000K
 
  
 BK    Black
 
  20W
 
  941
 
  684
 
  
    Example:  FM-W33113-BK
For custom requests please contact customs@waclighting.com
 
DESCRIPTION
 
  Clean lines for a stunning look. Modern minimalism.
 
FEATURES
 
• Hammered glass panels on five sides
• Stainless steel textured reflector
• Driver concealed within the canopy
• 5 Year warranty
 
 
 
  SPECIFICATIONS
  Color Temp:
3000K
  Input:
120/277V,50/60Hz
  CRI:
90
  Dimming:
ELV: 100-10% ,TRIAC: 100-10%
  Rated Life:
50000 Hours
  Mounting:
Can be mounted on ceiling or wall in all orientations
  Standards:
ETL, cETL,IP65
Wet Location Listed
  Construction:
Aluminum body, hammered glass diffuser
 
 
 
 
REPLACEMENT PARTS
 
  RPL-GLA-33113-SI - Side Glass
  
 FINISHES:
Black
 LINE DRAWING:
  
Powered by TCPDF (www.tcpdf.org)
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H"
https://www.waclighting.com/product/downtown/?download=specs3&1676585495,lighting,"Downtown
Round Outdoor Ceiling Mount
  Fixture Type:
 
 
Catalog Number:
 
 
Project:
 
 
Location:
  
    Model & Size
  Color Temp
  Finish
  LED Watts
  LED Lumens
  Delivered Lumens
  
 FM-W47205    5""
 
  
 3000K
  
 3500K
  
 4000K
 
  
 BK    Black
  
 WT    White
 
  11.9W
  11.9W
  11.9W
 
  900
  925
  950
 
  607
  647
  618
 
  
    Example:  FM-W47205-40-WT
For custom requests please contact customs@waclighting.com
 
FEATURES
 
• Built in color temperature adjustability. Switch from 3000K/3500K/4000K
• Option to pre-select color temperature or adjust in the field
• ACLED driverless technology
• 5 Year warranty
 
 
 
  SPECIFICATIONS
  Color Temp:
3500K,3000K,4000K
  Input:
120 VAC,50/60Hz
  CRI:
90
  Dimming:
ELV: 100-10% ,TRIAC: 100-10%
  Rated Life:
54000 Hours
  Mounting:
Can be mounted on ceiling or wall in all orientations
  Standards:
ETL, cETL,IP65,Title 24 JA8 Compliant
Wet Location Listed
  Construction:
 Aluminum body, glass diffuser
 
 
 
 
  
 FINISHES:
White
Black
 LINE DRAWING:
  
Powered by TCPDF (www.tcpdf.org)
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H
H
H
H
H"
https://www.waclighting.com/product/flexrail1-11/?download=specs2&1676589071,lighting,"Flexrail1™ 
Sloped Ceiling Standoff
    Fixture Type:
 
 
  Catalog Number:
 
 
  Project:
 
 
  Location:
  
    System Type
  Model
  Size
  Finish
  
 HM1
 
  
 XS
 
  
 12""
  
 36""
  
 48""
  
 6""
 
  
 DB Dark Bronze
  
 PT Platinum
 
  
    Example:  HM1-XS12-DB
 
DESCRIPTION
 
  Offering a slender profile that is easy to assemble and customize, Flexrail™™
integrates art and technology into a flexible line voltage system bendable in the
field to navigate curves for endless design possibilities. The flexible upgrade to
traditional track creates bold, eye-catching three dimensional configurations
while challenging ceilings are transformed into dramatic scenes with selections
from hundreds of low and line voltage LED Quick Connect™ pendants and
fixtures. Unlike conventional monorail systems with bulky transformers,
Flexrail™™ can be powered directly through a junction box or 120V source. A
single circuit of Flexrail™ can accommodate dozens of LED pendants or rail
heads. This sturdy, yet distinctive system is engineered for the most demanding
residential, retail, or commercial applications where versatility, high
performance and robust aesthetics are necessary.
 
FEATURES
 
• Supports rail for flat ceilings and surfaces
• 5 year warranty
 
 
 
SPECIFICATIONS
Finish:
Platinum, Dark Bronze
Operating Temp:
-4°F to 104°F (-20°C to 40°C)
Standards:
UL, cUL, Dry Location Listed
 
 
 
 
   FINISHES:
Platinum
Dark
Bronze
waclighting.com | Phone (800) 526.2588 | Fax (800) 526.2585 | Headquarters/Eastern Distribution Center 44 Harbor Park Drive Port Washington, NY 11050
1
WAC Lighting retains the right to modify the design of our products at any time as part of the company's continuous improvement program. August 2024
 
 
 
 
H
H
H
H
H
H
H
H"
